物品编号,物品重量,物品价值
280,13,840.12
281,65,766.26
282,93,259.12
283,66,844.63
284,31,954.83
285,93,820.09
286,21,622.31
287,61,921.40
288,8,930.46
289,92,759.71
290,30,988.15
291,50,992.47
292,60,928.48
293,1,472.81
294,14,995.53
295,64,923.26
296,55,992.11
297,7,863.31
298,45,395.43
299,14,883.04
300,40,877.33
301,20,594.55
302,53,604.97
303,2,645.00
304,24,821.24
305,92,707.45
306,1,502.84
307,9,453.71
308,27,116.23
309,87,626.80
310,94,889.02
311,33,562.54
312,27,695.11
313,1,946.40
314,86,367.69
315,29,536.71
316,86,851.88
317,100,340.05
318,68,726.58
319,80,923.15
320,97,406.13
321,95,133.39
322,99,291.55
323,93,917.45
324,57,982.22
325,6,418.07
326,67,476.31
327,75,102.25
328,82,352.64
329,57,324.94
330,16,756.61
331,89,174.80
332,37,980.93
333,53,361.99
334,16,304.68
335,36,551.86
336,46,950.24
337,25,809.45
338,72,588.74
339,14,984.99
340,73,174.51
341,48,233.82
342,70,893.70
343,37,413.31
344,29,788.76
345,23,370.50
346,46,814.67
347,41,688.84
348,3,537.65
349,66,988.71
350,97,541.02
351,75,628.90
352,97,798.20
353,59,477.37
354,73,582.75
355,55,332.90
356,11,851.90
357,26,700.86
358,27,177.15
359,67,770.94
360,28,171.63
361,82,970.87
362,86,256.65
363,8,846.20
364,56,583.57
365,100,427.21
366,45,351.51
367,72,316.87
368,65,451.01
369,34,273.51
370,83,780.34
371,46,677.38
372,16,284.42
373,78,697.03
374,21,369.53
375,82,873.01
376,46,234.67
377,32,910.82
378,32,769.14
379,93,537.38
380,51,520.72
381,96,587.84
382,92,978.66
383,40,664.53
384,17,835.84
385,48,443.16
386,96,508.55
387,30,753.69
388,60,895.21
389,2,480.20
390,23,154.42
391,43,860.76
392,1,168.20
393,49,471.68
394,58,851.18
395,47,504.76
396,46,708.83
397,9,993.66
398,48,589.54
399,100,484.85
400,21,640.04
401,100,935.29
402,43,525.90
403,39,340.12
404,63,396.12
405,38,466.69
406,80,494.38
407,53,138.85
408,62,627.20
409,96,907.53
410,65,515.03
411,81,560.31
412,96,328.59
413,13,813.22
414,20,650.26
415,56,222.38
416,63,123.62
417,57,183.88
418,7,523.97
419,24,276.07
420,14,494.79
421,58,397.23
422,63,700.48
423,65,630.67
424,26,371.94
425,23,905.16
426,2,787.08
427,26,539.66
428,98,493.49
429,7,710.84
430,44,361.22
431,31,695.69
432,42,277.72
433,66,568.37
434,88,592.54
435,67,388.08
436,58,424.68
437,43,245.10
438,58,839.82
439,20,367.50
440,81,798.14
441,78,404.76
442,25,717.77
443,45,152.02
444,16,350.39
445,87,363.06
446,27,532.27
447,68,823.32
448,86,707.93
449,82,858.57
450,76,235.55
451,48,408.55
452,17,789.84
453,93,483.45
454,94,871.07
455,16,336.76
456,86,216.22
457,71,651.35
458,44,649.71
459,69,146.39
460,36,676.33
461,43,119.32
462,71,311.66
463,69,913.85
464,9,395.44
465,45,447.21
466,50,328.56
467,81,355.47
468,46,567.51
469,55,457.68
470,49,845.75
471,81,445.81
472,28,952.10
473,47,617.82
474,19,290.68
475,33,848.81
476,19,196.83
477,70,884.01
478,99,201.16
479,2,180.33
480,94,807.91
481,16,259.83
482,61,533.36
483,53,466.70
484,52,342.92
485,63,286.48
486,82,818.33
487,72,396.95
488,78,511.85
489,22,490.22
490,41,179.36
491,44,132.78
492,56,276.73
493,8,542.47
494,3,748.02
495,6,566.57
496,21,900.75
497,80,484.23
498,88,730.14
499,1,279.80
500,46,617.25
501,82,510.90
502,83,680.83
503,54,520.45
504,10,699.44
505,62,827.26
506,89,331.96
507,29,395.33
508,20,135.65
509,67,144.41
510,37,164.78
511,51,867.26
512,48,752.54
513,51,419.83
514,55,189.69
515,1,682.35
516,35,542.46
517,37,711.99
518,65,398.37
519,97,320.63
520,88,573.09
521,8,408.27
522,13,765.10
523,59,218.65
524,55,277.34
525,47,161.63
526,65,580.50
527,26,877.93
528,34,906.34
529,12,495.70
530,56,310.31
531,22,545.96
532,42,858.18
533,21,269.27
534,9,583.38
535,85,368.56
536,92,328.32
537,56,257.26
538,29,352.98
539,29,486.21
540,99,928.11
541,62,868.04
542,85,962.99
543,28,588.06
544,95,972.52
545,46,369.31
546,74,522.01
547,23,896.35
548,90,898.24
549,31,214.38
550,96,562.40
551,15,682.05
552,59,392.98
553,24,627.95
554,36,943.94
555,26,304.12
556,100,847.11
557,19,272.98
558,20,178.99
559,73,531.80
560,21,199.97
561,49,365.49
562,36,863.32
563,86,816.42
564,58,962.86
565,43,381.77
566,51,787.06
567,8,825.11
568,20,599.34
569,56,695.85
570,68,612.33
571,33,825.77
572,44,757.82
573,86,427.04
574,34,835.37
575,68,441.89
576,35,245.02
577,26,313.24
578,65,737.64
579,95,760.22
580,6,712.92
581,13,733.81
582,71,495.24
583,74,616.92
584,12,965.02
585,63,207.58
586,53,363.39
587,1,798.32
588,32,518.94
589,65,293.70
590,86,315.40
591,43,172.90
592,9,145.88
593,66,250.70
594,5,433.28
595,100,938.03
596,87,725.44
597,78,314.07
598,77,327.29
599,17,922.24
600,100,781.53
601,23,602.31
602,62,892.78
603,85,928.63
604,12,264.62
605,24,617.71
606,18,386.87
607,30,820.73
608,21,885.31
609,79,891.87
610,69,417.78
611,97,473.43
612,78,846.83
613,97,534.16
614,66,149.51
615,43,483.45
616,97,896.47
617,20,238.41
618,66,164.13
619,48,488.37
620,90,974.65
621,9,962.77
622,81,362.70
623,60,276.12
624,42,410.07
625,99,372.00
626,2,145.79
627,52,893.94
628,24,271.38
629,59,892.93
630,35,235.14
631,27,588.91
632,20,448.07
633,49,140.52
634,91,615.95
635,34,286.37
636,26,211.35
637,39,787.00
638,83,620.10
639,36,279.00
640,92,650.49
641,60,112.98
642,91,263.52
643,17,376.47
644,2,646.88
645,14,464.39
646,100,571.13
647,84,474.00
648,77,366.07
649,20,122.26
650,5,960.76
651,36,141.02
652,82,791.05
653,22,770.86
654,79,624.51
655,37,375.14
656,89,604.33
657,22,861.67
658,61,111.37
659,98,314.96
660,2,176.42
661,80,656.19
662,84,513.06
663,9,975.87
664,86,549.90
665,93,444.92
666,3,690.70
667,2,209.95
668,82,956.40
669,12,536.31
670,54,240.09
671,25,800.30
672,40,303.38
673,89,591.62
674,93,659.77
675,87,458.81
676,15,322.97
677,46,192.54
678,70,509.05
679,82,943.44
680,36,393.96
681,54,759.51
682,95,884.05
683,7,135.39
684,92,305.18
685,92,630.41
686,54,701.21
687,12,200.83
688,33,846.91
689,4,480.83
690,9,250.39
691,7,445.89
692,56,444.57
693,77,401.41
694,93,291.20
695,65,735.09
696,96,541.07
697,79,379.83
698,1,440.75
699,86,343.94
700,80,810.51
701,38,984.43
702,31,847.16
703,97,559.76
704,14,712.95
705,55,840.72
706,32,568.34
707,76,148.58
708,84,369.56
709,53,372.05
710,20,380.27
711,14,436.10
712,15,139.10
713,47,619.78
714,24,819.63
715,47,656.22
716,69,672.08
717,25,969.90
718,34,428.52
719,10,544.52
720,50,992.49
721,48,598.56
722,69,739.72
723,17,338.84
724,90,999.78
725,38,808.91
726,78,165.08
727,46,644.96
728,66,186.78
729,33,355.17
730,86,306.96
731,27,517.25
732,89,908.66
733,30,108.90
734,30,676.08
735,76,798.61
736,45,924.96
737,10,748.15
738,31,806.54
739,94,493.90
740,17,711.42
741,81,278.44
742,70,796.15
743,46,526.49
744,5,135.23
745,87,576.97
746,39,393.66
747,46,273.56
748,100,309.03
749,38,339.25
750,21,574.14
751,20,559.04
752,28,673.19
753,56,849.50
754,26,865.49
755,77,861.94
756,48,662.63
757,30,844.74
758,99,764.22
759,100,573.09
760,26,458.94
761,72,111.10
762,22,576.79
763,100,903.14
764,13,180.78
765,48,798.35
766,6,860.59
767,42,216.95
768,49,625.25
769,69,802.30
770,72,403.57
771,58,712.52
772,90,659.95
773,23,906.63
774,20,968.78
775,36,653.25
776,82,156.86
777,29,874.15
778,50,556.19
779,70,597.52
780,74,986.94
781,2,777.78
782,29,834.53
783,16,825.72
784,84,363.61
785,60,243.86
786,24,133.60
787,76,689.26
788,39,503.98
789,5,465.68
790,60,784.23
791,27,760.52
792,34,632.33
793,87,559.02
794,33,485.88
795,92,420.14
796,58,377.11
797,67,637.78
798,33,762.16
799,99,372.99
800,34,706.46
801,17,494.19
802,29,236.47
803,61,204.56
804,84,183.15
805,22,803.26
806,78,673.87
807,98,745.56
808,47,820.94
809,61,759.35
810,95,466.09
811,93,354.44
812,17,100.34
813,99,437.53
814,52,976.53
815,64,486.03
816,14,841.10
817,61,188.06
818,6,595.59
819,72,479.93
820,78,655.64
821,64,943.94
822,44,384.34
823,23,863.16
824,98,864.77
825,64,184.21
826,35,589.37
827,97,830.47
828,70,839.44
829,48,522.96
830,57,883.92
831,75,859.79
832,93,567.34
833,1,652.37
834,75,668.85
835,1,514.43
836,46,642.93
837,35,201.78
838,67,823.90
839,38,929.68
840,46,514.88
841,69,449.15
842,39,603.48
843,61,574.04
844,59,408.71
845,61,633.30
846,24,598.60
847,55,278.26
848,100,127.16
849,91,767.15
850,6,754.46
851,6,331.34
852,17,475.01
853,23,407.45
854,45,124.56
855,37,907.38
856,76,309.23
857,87,401.56
858,43,722.96
859,82,839.01
860,64,498.27
861,94,707.03
862,71,651.41
863,90,161.23
864,1,817.10
865,6,209.00
866,10,472.82
867,19,666.21
868,65,656.55
869,37,156.93
870,52,725.03
871,51,595.77
872,54,102.20
873,70,963.38
874,78,192.97
875,29,874.69
876,32,249.81
877,5,925.29
878,62,226.96
879,36,932.57
880,52,150.69
881,45,292.06
882,54,394.07
883,19,689.90
884,9,874.81
885,13,836.55
886,33,230.88
887,43,544.05
888,50,437.47
889,77,199.17
890,30,233.20
891,86,400.28
892,57,578.62
893,66,999.24
894,47,261.18
895,20,358.35
896,91,734.38
897,75,333.44
898,94,279.34
899,28,192.29
900,60,197.51
901,18,341.65
902,13,987.43
903,56,721.76
904,60,920.22
905,51,158.44
906,63,309.38
907,89,110.43
908,6,294.00
909,95,796.78
910,25,624.85
911,13,477.19
912,25,608.74
913,56,251.93
914,43,949.20
915,62,909.33
916,45,555.68
917,83,330.34
918,29,424.98
919,74,485.54
920,87,487.00
921,50,268.74
922,68,125.86
923,59,709.10
924,35,627.86
925,99,722.23
926,64,310.47
927,66,621.34
928,13,275.30
929,89,458.33
930,82,359.30
931,51,971.40
932,59,466.26
933,46,147.84
934,6,982.66
935,31,320.77
936,6,480.33
937,58,825.97
938,84,977.10
939,45,918.89
940,51,769.59
941,10,882.10
942,19,585.85
943,81,701.93
944,63,446.47
945,83,769.86
946,25,300.13
947,58,894.02
948,85,680.89
949,92,310.60
950,92,462.94
951,51,908.36
952,8,743.48
953,53,470.17
954,53,712.89
955,24,441.02
956,56,114.27
957,50,557.73
958,20,689.57
959,18,323.20
960,73,236.38
961,60,662.51
962,91,504.36
963,79,729.57
964,22,617.20
965,46,690.24
966,99,318.94
967,79,896.71
968,91,734.75
969,75,260.17
970,47,104.30
971,73,346.44
972,78,957.51
973,79,271.35
974,94,569.94
975,60,852.70
976,31,144.79
977,55,401.47
978,16,314.64
979,9,322.33
980,93,200.29
981,89,647.95
982,96,501.53
983,88,879.84
984,51,857.65
985,3,937.32
986,45,358.77
987,9,418.18
988,48,633.08
989,54,535.16
990,85,791.79
991,90,225.78
992,95,986.29
993,63,720.10
994,70,519.47
995,50,764.85
996,14,831.68
997,54,803.24
998,35,230.25
999,88,716.34
1000,64,874.78
